Month,Day,Year,Max_Air_Temperature,Min_Air_Temperature,Precip,Dew_Point,Sky_Cover,Wind_Speed,Wind_Direction,Solar_Radiation,Storm_Type_ID,Potential_ET,Actual_ET,Actual_EI,Input_Units_Code
1,1,1980,9.20,2.83,0.00,0.70,,3.60,114.97,122.84,,2.31,,,1
1,2,1980,10.05,1.01,0.33,-3.41,,0.98,151.95,84.59,,1.32,,,1
1,3,1980,7.48,2.44,10.39,-1.41,,1.94,273.50,41.89,,0.68,,,1
1,4,1980,6.41,1.34,2.30,0.36,,5.37,137.89,107.22,,2.60,,,1
1,5,1980,4.74,0.25,0.00,-1.99,,3.23,155.02,92.90,,2.14,,,1
1,6,1980,9.80,-0.80,1.50,-5.13,,5.59,334.66,124.52,,2.53,,,1
1,7,1980,7.86,4.08,9.41,-0.13,,3.73,231.41,39.78,,1.08,,,1
1,8,1980,9.33,2.02,0.00,0.05,,2.19,217.20,99.23,,2.26,,,1
1,9,1980,10.03,2.97,0.31,0.51,,2.82,201.53,121.93,,2.50,,,1
1,10,1980,17.09,2.30,1.73,0.27,,5.87,318.11,60.59,,1.21,,,1
1,11,1980,19.67,3.01,23.63,6.79,,7.96,178.73,79.16,,3.01,,,1
1,12,1980,6.69,0.40,0.00,0.83,,5.20,224.40,103.72,,4.27,,,1
1,13,1980,12.54,2.38,0.00,-0.33,,3.94,316.74,62.11,,2.21,,,1
1,14,1980,17.08,4.62,0.00,4.77,,2.25,290.84,127.73,,2.07,,,1
1,15,1980,18.14,7.23,0.00,3.67,,3.84,318.67,109.83,,2.19,,,1
1,16,1980,13.45,9.72,2.59,6.21,,5.95,333.09,45.51,,1.15,,,1
1,17,1980,15.97,9.68,6.48,10.64,,2.21,277.88,70.38,,1.18,,,1
1,18,1980,17.51,8.33,3.09,8.57,,2.45,158.57,128.17,,2.50,,,1
1,19,1980,16.58,4.68,1.55,0.56,,1.90,227.10,134.14,,2.35,,,1
1,20,1980,15.40,8.07,2.57,2.42,,2.45,175.36,114.40,,3.02,,,1
1,21,1980,9.74,6.98,16.24,6.44,,2.60,273.22,31.42,,1.04,,,1
1,22,1980,9.35,5.47,18.42,6.06,,3.54,161.24,36.02,,1.22,,,1
1,23,1980,5.00,0.07,0.00,-1.55,,5.74,121.18,141.35,,3.43,,,1
1,24,1980,14.22,-0.31,0.00,-2.37,,5.88,45.93,140.33,,3.44,,,1
1,25,1980,14.27,2.49,0.00,2.91,,4.12,52.41,94.10,,2.15,,,1
1,26,1980,11.39,7.70,6.80,6.38,,2.34,191.17,40.37,,0.92,,,1
1,27,1980,7.23,2.75,0.00,2.50,,4.04,169.59,75.85,,2.22,,,1
1,28,1980,6.15,1.18,0.00,-0.35,,2.99,194.95,87.73,,2.24,,,1
1,29,1980,1.78,-0.56,3.12,-2.03,,4.26,210.55,60.71,,1.07,,,1
1,30,1980,1.64,-3.60,11.93,-1.90,,2.92,236.96,45.12,,0.47,,,1
1,31,1980,-1.47,-5.65,0.27,-5.98,,7.09,171.02,115.41,,2.09,,,1
2,1,1980,-1.97,-7.59,0.00,-10.10,,4.55,185.84,138.60,,2.10,,,1
2,2,1980,0.26,-9.01,0.00,-10.81,,1.70,230.76,153.90,,1.09,,,1
2,3,1980,1.32,-3.23,0.00,-6.97,,1.31,199.07,52.45,,0.52,,,1
2,4,1980,3.71,-2.26,0.00,-4.30,,3.29,228.22,126.02,,2.03,,,1
2,5,1980,2.43,-1.63,2.85,-2.31,,3.36,206.47,37.16,,0.56,,,1
2,6,1980,3.34,-0.71,0.13,-0.78,,5.51,134.28,122.07,,2.83,,,1
2,7,1980,3.24,-2.28,5.39,-5.79,,3.56,235.82,88.69,,2.01,,,1
2,8,1980,2.65,-1.14,22.03,-2.20,,3.81,275.31,45.78,,0.30,,,1
2,9,1980,4.82,-0.72,16.87,0.53,,4.82,205.74,53.50,,1.34,,,1
2,10,1980,3.11,-3.73,0.00,-4.42,,4.20,163.16,164.92,,2.57,,,1
2,11,1980,6.16,-3.85,0.00,-8.25,,2.62,104.59,165.05,,2.40,,,1
2,12,1980,5.24,-3.55,0.00,-6.00,,2.48,173.45,162.08,,2.30,,,1
2,13,1980,9.89,-4.27,0.00,-6.10,,2.86,305.34,167.23,,2.77,,,1
2,14,1980,15.13,-0.12,0.00,-3.80,,2.84,315.99,129.08,,2.58,,,1
2,15,1980,18.31,4.49,3.44,1.93,,4.16,137.95,102.75,,2.00,,,1
2,16,1980,13.06,-4.41,0.81,-0.59,,7.56,164.40,89.72,,2.93,,,1
2,17,1980,2.12,-7.22,0.00,-9.66,,4.22,182.37,178.54,,3.36,,,1
2,18,1980,6.66,-6.11,0.34,-10.51,,3.49,293.59,166.33,,3.13,,,1
2,19,1980,10.14,1.87,1.83,-1.41,,6.35,328.50,45.16,,1.32,,,1
2,20,1980,20.31,8.58,0.00,5.41,,3.72,215.91,143.46,,2.76,,,1
2,21,1980,23.81,12.87,0.00,7.49,,5.85,136.59,143.60,,3.58,,,1
2,22,1980,23.27,12.25,0.64,12.81,,3.37,90.44,174.56,,4.31,,,1
2,23,1980,21.20,10.16,0.00,8.66,,3.94,113.10,176.50,,4.48,,,1
